epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,331.096,0.6376,0.37468,0.86999,0.99932,1,0.995,0.85107,0.57285,0.33353,0.86405,0.0004556,0.0004556,0.0004556
80,335.068,0.66096,0.40378,0.89281,0.99894,1,0.995,0.81849,0.67423,0.32753,0.89373,0.0004358,0.0004358,0.0004358
81,338.99,0.62852,0.374,0.8625,0.99891,1,0.995,0.85803,0.53882,0.30959,0.86217,0.000416,0.000416,0.000416
82,342.91,0.64306,0.38002,0.87558,0.99901,1,0.995,0.83854,0.63109,0.33283,0.87527,0.0003962,0.0003962,0.0003962
83,346.902,0.64618,0.38374,0.87321,1,0.99983,0.995,0.81178,0.70658,0.33772,0.90891,0.0003764,0.0003764,0.0003764
84,351.081,0.62465,0.3766,0.87958,1,0.99866,0.995,0.85624,0.58744,0.3228,0.86668,0.0003566,0.0003566,0.0003566
85,354.978,0.62624,0.38154,0.87801,1,0.99835,0.995,0.83379,0.64744,0.3347,0.88606,0.0003368,0.0003368,0.0003368
86,358.866,0.6157,0.3663,0.86192,1,0.99848,0.995,0.85271,0.57676,0.32124,0.86844,0.000317,0.000317,0.000317
87,362.791,0.61851,0.37549,0.86653,1,0.99884,0.995,0.83926,0.57725,0.30427,0.8742,0.0002972,0.0002972,0.0002972
88,366.876,0.61246,0.36771,0.8614,1,0.9997,0.995,0.86163,0.57251,0.30713,0.86773,0.0002774,0.0002774,0.0002774
89,370.866,0.61488,0.3758,0.87463,0.99984,1,0.995,0.85949,0.56085,0.30304,0.86387,0.0002576,0.0002576,0.0002576
90,374.848,0.58642,0.35641,0.86596,1,0.99962,0.995,0.81965,0.69375,0.31519,0.90356,0.0002378,0.0002378,0.0002378
91,394.288,0.5869,0.3538,0.86329,0.99937,1,0.995,0.86839,0.52674,0.30186,0.85279,0.000218,0.000218,0.000218
92,398.141,0.54947,0.33994,0.86453,1,0.99835,0.995,0.8512,0.55007,0.31117,0.86224,0.0001982,0.0001982,0.0001982
93,401.92,0.53813,0.3376,0.83055,1,1,0.995,0.84184,0.58089,0.31331,0.87324,0.0001784,0.0001784,0.0001784
94,405.644,0.52831,0.33424,0.83356,1,0.99985,0.995,0.86599,0.53923,0.29608,0.85652,0.0001586,0.0001586,0.0001586
95,409.632,0.53362,0.33053,0.85053,1,0.9999,0.995,0.85609,0.53291,0.29371,0.8569,0.0001388,0.0001388,0.0001388
96,413.709,0.51512,0.31413,0.84264,0.99987,1,0.995,0.8484,0.55958,0.29839,0.87123,0.000119,0.000119,0.000119
97,417.507,0.50373,0.32138,0.84459,0.99963,1,0.995,0.84963,0.54202,0.29418,0.86465,9.92e-05,9.92e-05,9.92e-05
98,421.281,0.51141,0.31835,0.83374,0.99957,1,0.995,0.85449,0.5329,0.29274,0.86031,7.94e-05,7.94e-05,7.94e-05
99,425.065,0.49914,0.30905,0.85768,0.99951,1,0.995,0.85061,0.54805,0.29369,0.86351,5.96e-05,5.96e-05,5.96e-05
100,428.878,0.49389,0.3114,0.84577,0.99932,1,0.995,0.85313,0.53628,0.28942,0.86436,3.98e-05,3.98e-05,3.98e-05
